"season","lg","team","abbreviation","playoffs","champions","age","w","l","pw","pl","mov","sos","srs","o_rtg","d_rtg","n_rtg","pace","f_tr","x3p_ar","ts_percent","e_fg_percent","tov_percent","orb_percent","ft_fga","opp_e_fg_percent","opp_tov_percent","drb_percent","opp_ft_fga"
1971,"NBA","Milwaukee Bucks","MIL",1,1,26.1,66,16,67,15,12.26,-0.34,11.92,103.9,93.1,10.8,113.4,0.305,0,0.549,0.509,16,0,0.226,0.424,14.5,0,0.21
1970,"NBA","New York Knicks","NYK",1,1,27,60,22,62,20,9.09,-0.66,8.42,100.3,92.4,7.9,114.3,0.311,0,0.52,0.477,0,0,0.228,0,0,0,0
1969,"NBA","Boston Celtics","BOS",1,1,30.5,48,34,55,27,5.57,-0.23,5.35,93.8,89.1,4.7,117.5,0.32,0,0.48,0.431,0,0,0.233,0,0,0,0
1968,"NBA","Boston Celtics","BOS",1,1,29.5,54,28,51,31,4.11,-0.24,3.87,95.7,92.4,3.3,121.1,0.356,0,0.492,0.44,0,0,0.257,0,0,0,0
1967,"NBA","Philadelphia 76ers","PHI",1,1,27,68,13,61,20,9.44,-0.94,8.5,101.5,93.9,7.6,122.9,0.421,0,0.528,0.483,0,0,0.286,0,0,0,0
1966,"NBA","Boston Celtics","BOS",1,1,28.8,54,26,52,28,4.89,-0.54,4.34,92.3,88.3,4,122,0.33,0,0.47,0.417,0,0,0.244,0,0,0,0
1965,"NBA","Boston Celtics","BOS",1,1,28.3,62,18,60,20,8.39,-0.93,7.46,90.9,84.2,6.7,123.6,0.3,0,0.463,0.414,0,0,0.22,0,0,0,0
1964,"NBA","Boston Celtics","BOS",1,1,28.4,59,21,59,21,7.9,-0.97,6.93,90.1,83.8,6.3,125,0.284,0,0.458,0.413,0,0,0.206,0,0,0,0
1963,"NBA","Boston Celtics","BOS",1,1,28.3,58,22,56,24,7.18,-0.8,6.38,93,87.4,5.6,127.3,0.316,0,0.475,0.427,0,0,0.229,0,0,0,0
1962,"NBA","Boston Celtics","BOS",1,1,27.9,60,20,60,20,9.24,-0.98,8.25,92.1,85.1,7,130.8,0.298,0,0.47,0.423,0,0,0.217,0,0,0,0
